Function                      ,Assembly  ,Source,   REF     ,   SSE     ,  SSE2     ,  SSE3     , SSSE3     , SSE4A     ,SSE4_1     ,SSE4_2     ,  SSE5     
ssp_maddubs_epi16             ,pmaddubsw ,SSSE3 ,81,           ,12,           ,4.8,           ,           ,           ,           
ssp_maskmove_si64             ,maskmovq,SSE,,-1,,,,,,,
ssp_maskmoveu_si128           ,maskmovdqu,SSE2,,,-1,,,,,,
ssp_max_epi16                 ,pmaxsw,SSE2,,,-1,,,,,,
ssp_max_epi32                 ,pmaxsd    ,SSE4_1,32.3,           ,9,           ,           ,           ,1,           ,           
ssp_max_epi8                  ,pmaxsb    ,SSE4_1,58,           ,9,           ,           ,           ,1,           ,           
ssp_max_epu16                 ,pmaxuw    ,SSE4_1,36,           ,13,           ,           ,           ,1,           ,           
ssp_max_epu32                 ,pmaxud    ,SSE4_1,30.3,           ,13,           ,           ,           ,1,           ,           
ssp_max_epu8                  ,pmaxub,SSE2,,,-1,,,,,,
ssp_max_pd                    ,maxpd,SSE2,,,-1,,,,,,
ssp_max_ps                    ,maxps,SSE,,-1,,,,,,,
ssp_max_pu8                   ,pmaxub,SSE,,-1,,,,,,,
ssp_max_sd                    ,maxsd,SSE2,,,-1,,,,,,
ssp_max_ss                    ,maxss,SSE,,-1,,,,,,,
ssp_mfence                    ,mfence,SSE2,,,-1,,,,,,
ssp_min_epi16                 ,pminsw,SSE2,,,-1,,,,,,
ssp_min_epi32                 ,pminsd    ,SSE4_1,33.5,           ,7,           ,           ,           ,1,           ,           
ssp_min_epi8                  ,pminsb    ,SSE4_1,54,           ,7,           ,           ,           ,1,           ,           
ssp_min_epu16                 ,pminuw    ,SSE4_1,38,           ,13,           ,           ,           ,1,           ,           
ssp_min_epu32                 ,pminud    ,SSE4_1,33.5,           ,13,           ,           ,           ,1,           ,           
ssp_min_epu8                  ,pminub,SSE2,,,-1,,,,,,
ssp_min_pd                    ,minpd,SSE2,,,-1,,,,,,
ssp_min_ps                    ,minps,SSE,,-1,,,,,,,
ssp_min_pu8                   ,pminub,SSE,,-1,,,,,,,
ssp_min_sd                    ,minsd,SSE2,,,-1,,,,,,
ssp_min_ss                    ,minss,SSE,,-1,,,,,,,
ssp_minpos_epu16              ,phminposuw,SSE4_1,44.5,           ,           ,           ,           ,           ,5,           ,           
ssp_move_epi64                ,movq,SSE2,,,-1,,,,,,
ssp_move_sd                   ,movsd,SSE2,,,-1,,,,,,
ssp_move_ss                   ,movss,SSE,,-1,,,,,,,
ssp_movedup_pd                ,movddup   ,SSE3  ,0.9,           ,2,2,           ,           ,           ,           ,           
ssp_movehdup_ps               ,movshdup  ,SSE3  ,3.4,           ,3,2,           ,           ,           ,           ,           
ssp_movehl_ps                 ,movhlps,SSE,,-1,,,,,,,
ssp_moveldup_ps               ,movsldup  ,SSE3  ,2.4,           ,3,2,           ,           ,           ,           ,           
ssp_movelh_ps                 ,movlhps,SSE,,-1,,,,,,,
ssp_movemask_epi8             ,pmovmskb,SSE2,,,-1,,,,,,
ssp_movemask_pd               ,movmskpd,SSE2,,,-1,,,,,,
ssp_movemask_ps               ,movmskps,SSE,,-1,,,,,,,
ssp_movepi64_pi64             ,movdq2q,SSE2,,,-1,,,,,,
ssp_movpi64_epi64             ,movq2dq,SSE2,,,-1,,,,,,
ssp_mpsadbw_epu8              ,mpsadbw   ,SSE4_1,38.4,           ,70,           ,           ,           ,7,           ,           
ssp_msub_pd                   ,fmsubpd   ,SSE5  ,9.8,           ,8,           ,           ,           ,           ,           ,-1
ssp_msub_ps                   ,fmsubps   ,SSE5  ,19.7,           ,8,           ,           ,           ,           ,           ,-1
ssp_msub_sd                   ,fmsubsd   ,SSE5  ,9.5,           ,16,           ,           ,           ,           ,           ,-1
ssp_msub_ss                   ,fmsubss   ,SSE5  ,18.3,           ,16,           ,           ,           ,           ,           ,-1
ssp_mul_epi32                 ,pmuldq    ,SSE4_1,26,           ,           ,           ,           ,           ,-1,           ,           
ssp_mul_epu32                 ,pmuludq,SSE2,,,-1,,,,,,
ssp_mul_pd                    ,mulpd,SSE2,,,-1,,,,,,
ssp_mul_ps                    ,mulps,SSE,,-1,,,,,,,
ssp_mul_sd                    ,mulsd,SSE2,,,-1,,,,,,
ssp_mul_ss                    ,mulss,SSE,,-1,,,,,,,
ssp_mulhi_epi16               ,pmulhw,SSE2,,,-1,,,,,,
ssp_mulhi_epu16               ,pmulhuw,SSE2,,,-1,,,,,,
ssp_mulhrs_epi16              ,pmulhrsw  ,SSSE3 ,45,           ,18.5,           ,4.8,           ,           ,           ,           
ssp_mullo_epi16               ,pmullw,SSE2,,,-1,,,,,,
ssp_mullo_epi32               ,pmullud   ,SSE4_1,45,           ,           ,           ,           ,           ,2,           ,           
ssp_nmacc_pd                  ,fnmaddpd  ,SSE5  ,9.4,           ,12,           ,           ,           ,           ,           ,-1
ssp_nmacc_ps                  ,fnmaddps  ,SSE5  ,20,           ,12,           ,           ,           ,           ,           ,-1
ssp_nmacc_sd                  ,fnmaddsd  ,SSE5  ,9.5,           ,20,           ,           ,           ,           ,           ,-1
ssp_nmacc_ss                  ,fnmaddss  ,SSE5  ,18.2,           ,20,           ,           ,           ,           ,           ,-1
ssp_nmsub_pd                  ,fnmsubpd  ,SSE5  ,11.8,           ,12,           ,           ,           ,           ,           ,-1
ssp_nmsub_ps                  ,fnmsubps  ,SSE5  ,22,           ,12,           ,           ,           ,           ,           ,-1
ssp_nmsub_sd                  ,fnmsubsd  ,SSE5  ,11.6,           ,20,           ,           ,           ,           ,           ,-1
ssp_nmsub_ss                  ,fnmsubss  ,SSE5  ,20.2,           ,20,           ,           ,           ,           ,           ,-1
ssp_or_pd                     ,orpd,SSE2,,,-1,,,,,,
ssp_or_ps                     ,orps,SSE,,-1,,,,,,,
ssp_or_si128                  ,por,SSE2,,,-1,,,,,,
ssp_packs_epi16               ,packsswb,SSE2,,,-1,,,,,,
ssp_packs_epi32               ,packssdw,SSE2,,,-1,,,,,,
ssp_packus_epi16              ,packuswb,SSE2,,,-1,,,,,,
ssp_packus_epi32              ,packusdw  ,SSE4_1,46,           ,6,           ,           ,           ,2,           ,           
ssp_pause                     ,,SSE2,,,-1,,,,,,
ssp_perm_epi8                 ,pperm     ,SSE5  ,505.3,           ,           ,           ,           ,           ,           ,           ,-1
ssp_perm_pd                   ,permpd    ,SSE5  ,68,           ,           ,           ,           ,           ,           ,           ,-1
ssp_perm_ps                   ,permps    ,SSE5  ,155,           ,           ,           ,           ,           ,           ,           ,-1
ssp_popcnt                    ,popcnt    ,SSE4a ,5,           ,           ,           ,           ,-1,           ,           ,           
ssp_popcnt_u32                ,popcnt,SSE4_2,,,,,,,,-1,
ssp_popcnt_u64                ,popcnt,SSE4_2,,,,,,,,-1,
ssp_popcnt16                  ,popcnt    ,SSE4a ,5,           ,           ,           ,           ,-1,           ,           ,           
ssp_popcnt64                  ,popcnt    ,SSE4a ,10,           ,           ,           ,           ,-1,           ,           ,           
ssp_prefetch                  ,prefetch,SSE,,-1,,,,,,,
ssp_rcp_ps                    ,rcpps,SSE,,-1,,,,,,,
ssp_rcp_ss                    ,rcpss,SSE,,-1,,,,,,,
ssp_rot_epi16                 ,protw     ,SSE5  ,107,           ,107,           ,           ,           ,           ,           ,-1
ssp_rot_epi32                 ,protd     ,SSE5  ,44,           ,44,           ,           ,           ,           ,           ,-1
ssp_rot_epi64                 ,protq     ,SSE5  ,235,           ,39.3,           ,           ,           ,           ,           ,-1
ssp_rot_epi8                  ,protb     ,SSE5  ,155,           ,155,           ,           ,           ,           ,           ,-1
ssp_roti_epi16                ,protw     ,SSE5  ,50,           ,9.3,           ,           ,           ,           ,           ,-1
ssp_roti_epi32                ,protd     ,SSE5  ,36,           ,9.3,           ,           ,           ,           ,           ,-1
ssp_roti_epi64                ,protq     ,SSE5  ,63,           ,9.3,           ,           ,           ,           ,           ,-1
ssp_roti_epi8                 ,protb     ,SSE5  ,93,           ,19,           ,           ,           ,           ,           ,-1
ssp_round_pd                  ,roundpd   ,SSE4&5,115,           ,35,           ,           ,           ,6,           ,-1
ssp_round_ps                  ,roundps   ,SSE4&5,129.5,           ,33,           ,           ,           ,6,           ,-1
ssp_round_sd                  ,roundsd   ,SSE4&5,61,           ,           ,           ,           ,           ,6,           ,-1
ssp_round_ss                  ,roundss   ,SSE4&5,42,           ,37,           ,           ,           ,6,           ,-1
ssp_rsqrt_ps                  ,rsqrtps,SSE,,-1,
ssp_rsqrt_ss                  ,rsqrtss,SSE,,-1,
ssp_sad_epu8                  ,psadbw,SSE2,,,-1
ssp_set_epi16                 ,(comp),SSE2,,,-1
ssp_set_epi32                 ,(comp),SSE2,,,-1
ssp_set_epi64                 ,(comp),SSE2,,,-1
ssp_set_epi8                  ,(comp),SSE2,,,-1
ssp_set_pd                    ,(comp),SSE2,,,-1
ssp_set_ps                    ,(comp),SSE,,-1,
ssp_set_ps1                   ,(comp),SSE,,-1,
ssp_set_sd                    ,(comp),SSE2,,,-1
ssp_set_ss                    ,(comp),SSE,,-1,
ssp_set1_epi16                ,(comp),SSE2,,,-1
ssp_set1_epi32                ,(comp),SSE2,,,-1
ssp_set1_epi64                ,(comp),SSE2,,,-1
ssp_set1_epi8                 ,(comp),SSE2,,,-1
ssp_set1_pd                   ,(comp),SSE2,,,-1,,,,,,
ssp_set1_ps                   ,(comp),SSE,,-1,,,,,,,
ssp_setcsr                    ,ldmxcsr,SSE,,-1,,,,,,,
ssp_setr_epi16                ,(comp),SSE2,,,-1,,,,,,
ssp_setr_epi32                ,(comp),SSE2,,,-1,,,,,,
ssp_setr_epi8                 ,(comp),SSE2,,,-1,,,,,,
ssp_setr_pd                   ,(comp),SSE2,,,-1,,,,,,
ssp_setr_ps                   ,(comp),SSE,,-1,,,,,,,
ssp_setzero_pd                ,xorpd,SSE2,,,-1,,,,,,
ssp_setzero_ps                ,(comp),SSE,,-1,,,,,,,
ssp_setzero_si128             ,pxor,SSE2,,,-1,,,,,,
ssp_sfence                    ,sfence,SSE,,-1,,,,,,,
ssp_sha_epi16                 ,pshaw     ,SSE5  ,47.7,           ,99,           ,           ,           ,           ,           ,-1
ssp_sha_epi32                 ,pshad     ,SSE5  ,35,           ,54.3,           ,           ,           ,           ,           ,-1
ssp_sha_epi64                 ,pshaq     ,SSE5  ,49,           ,51,           ,           ,           ,           ,           ,-1
ssp_sha_epi8                  ,pshab     ,SSE5  ,92,           ,108,           ,           ,           ,           ,           ,-1
ssp_shl_epi16                 ,pshaw     ,SSE5  ,47.7,           ,99,           ,           ,           ,           ,           ,-1
ssp_shl_epi32                 ,pshad     ,SSE5  ,35,           ,54.3,           ,           ,           ,           ,           ,-1
ssp_shl_epi64                 ,pshaq     ,SSE5  ,48.9,           ,24,           ,           ,           ,           ,           ,-1
ssp_shl_epi8                  ,pshab     ,SSE5  ,92,           ,108,           ,           ,           ,           ,           ,-1
ssp_shuffle_epi32             ,pshufd,SSE2,,,-1,,,,,,
ssp_shuffle_epi8              ,pshufb    ,SSSE3 ,82,           ,62,           ,3.5,           ,           ,           ,           
ssp_shuffle_pd                ,shufpd,SSE2,,,-1,,,,,,
ssp_shuffle_ps                ,shufps,SSE,,-1,,,,,,,
ssp_shufflehi_epi16           ,pshufhw,SSE2,,,-1,,,,,,
ssp_shufflelo_epi16           ,pshuflw,SSE2,,,-1,,,,,,
ssp_sign_epi16                ,psignw    ,SSSE3 ,51,           ,3,           ,1.6,           ,           ,           ,           
ssp_sign_epi32                ,psignd    ,SSSE3 ,37.6,           ,12,           ,1.6,           ,           ,           ,           
ssp_sign_epi8                 ,psignb    ,SSSE3 ,89,           ,12,           ,1.6,           ,           ,           ,           
ssp_sll_epi16                 ,psllw,SSE2,,,-1,,,,,,
ssp_sll_epi32                 ,pslld,SSE2,,,-1,,,,,,
ssp_sll_epi64                 ,psllq,SSE2,,,-1,,,,,,
ssp_slli_epi16                ,psllw,SSE2,,,-1
ssp_slli_epi32                ,pslld,SSE2,,,-1
ssp_slli_epi64                ,psllq,SSE2,,,-1
ssp_slli_si128                ,pslldq,SSE2,,,-1
ssp_sqrt_pd                   ,sqrtpd,SSE2,,,-1
ssp_sqrt_ps                   ,sqrtps,SSE,,-1,
ssp_sqrt_sd                   ,sqrtsd,SSE2,,,-1
ssp_sqrt_ss                   ,sqrtss,SSE,,-1,
ssp_sra_epi16                 ,psraw,SSE2,,,-1
ssp_sra_epi32                 ,psrad,SSE2,,,-1
ssp_srai_epi16                ,psraw,SSE2,,,-1
ssp_srai_epi32                ,psrad,SSE2,,,-1
ssp_srl_epi16                 ,psrlw,SSE2,,,-1
ssp_srl_epi32                 ,psrld,SSE2,,,-1
ssp_srl_epi64                 ,psrlq,SSE2,,,-1
ssp_srli_epi16                ,psrlw,SSE2,,,-1
ssp_srli_epi32                ,psrld,SSE2,,,-1
ssp_srli_epi64                ,psrlq,SSE2,,,-1
ssp_srli_si128                ,psrldq,SSE2,,,-1
ssp_store_pd                  ,movapd,SSE2,,,-1
ssp_store_ps                  ,movaps,SSE,,-1,
ssp_store_ps1                 ,(comp),SSE,,-1,
ssp_store_sd                  ,movsd,SSE2,,,-1
ssp_store_si128               ,movdqa,SSE2,,,-1
ssp_store_ss                  ,movss,SSE,,-1,
ssp_store1_pd                 ,(comp),SSE2,,,-1
ssp_store1_ps                 ,(comp),SSE,,-1,
ssp_storeh_pd                 ,movhpd,SSE2,,,-1
ssp_storel_epi64              ,movq,SSE2,,,-1
ssp_storel_pd                 ,movlpd,SSE2,,,-1
ssp_storer_pd                 ,(comp),SSE2,,,-1
ssp_storer_ps                 ,(comp),SSE,,-1,
ssp_storeu_pd                 ,movupd,SSE2,,,-1,,,,,,
ssp_storeu_ps                 ,movups,SSE,,-1,,,,,,,
ssp_storeu_si128              ,movdqu,SSE2,,,-1,,,,,,
ssp_stream_load_si128         ,movntdqa,SSE4_1,-1,,,,,,-1,,
ssp_stream_pd                 ,movlpd,SSE2,,,-1,,,,,,
ssp_stream_ps                 ,movlps,SSE,,-1,,,,,,,
ssp_stream_sd                 ,movntsd   ,SSE4a ,0.2,           ,           ,           ,           ,-1,           ,           ,           
ssp_stream_si128              ,movntdq,SSE2,,,-1,,,,,,
ssp_stream_si32               ,movnti,SSE2,,,-1,,,,,,
ssp_stream_ss                 ,movntss   ,SSE4a ,0.2,           ,           ,           ,           ,-1,           ,           ,           
ssp_sub_epi16                 ,psubw,SSE2,,,-1,,,,,,
ssp_sub_epi32                 ,psubd,SSE2,,,-1,,,,,,
ssp_sub_epi64                 ,psubq,SSE2,,,-1,,,,,,
ssp_sub_epi8                  ,psubb,SSE2,,,-1,,,,,,
ssp_sub_pd                    ,subpd,SSE2,,,-1,,,,,,
ssp_sub_ps                    ,subps,SSE,,-1,,,,,,,
ssp_sub_sd                    ,subsd,SSE2,,,-1,,,,,,
ssp_sub_ss                    ,subss,SSE,,-1,,,,,,,
ssp_subs_epi16                ,psubsw,SSE2,,,-1,,,,,,
ssp_subs_epi8                 ,psubsb,SSE2,,,-1,,,,,,
ssp_subs_epu16                ,psubusw,SSE2,,,-1,,,,,,
ssp_subs_epu8                 ,psubusb,SSE2,,,-1,,,,,,
ssp_testc_si128               ,ptest     ,SSE4&5,7,           ,5,           ,           ,           ,1,           ,-1
ssp_testnzc_si128             ,ptest     ,SSE4&5,11,           ,5,           ,           ,           ,1,           ,-1
ssp_testz_si128               ,ptest     ,SSE4&5,5,           ,5,           ,           ,           ,1,           ,-1
ssp_ucomieq_sd                ,ucomisd,SSE2,,,-1,,,,,,
ssp_ucomieq_ss                ,ucomiss,SSE,,-1,,,,,,,
ssp_ucomige_sd                ,ucomisd,SSE2,,,-1,,,,,,
ssp_ucomige_ss                ,ucomiss,SSE,,-1,,,,,,,
ssp_ucomigt_sd                ,ucomisd,SSE2,,,-1,,,,,,
ssp_ucomigt_ss                ,ucomiss,SSE,,-1,,,,,,,
ssp_ucomile_sd                ,ucomisd,SSE2,,,-1,,,,,,
ssp_ucomile_ss                ,ucomiss,SSE,,-1,
ssp_ucomilt_sd                ,ucomisd,SSE2,,,-1
ssp_ucomilt_ss                ,ucomiss,SSE,,-1,
ssp_ucomineq_sd               ,ucomisd,SSE2,,,-1
ssp_ucomineq_ss               ,ucomiss,SSE,,-1,
ssp_unpackhi_epi16            ,punpckhwd,SSE2,,,-1
ssp_unpackhi_epi32            ,punpckhdq,SSE2,,,-1
ssp_unpackhi_epi64            ,punpckhqdq,SSE2,,,-1
ssp_unpackhi_epi8             ,punpckhbw,SSE2,,,-1
ssp_unpackhi_pd               ,unpckhpd,SSE2,,,-1
ssp_unpackhi_ps               ,unpckhps,SSE,,-1,
ssp_unpacklo_epi16            ,punpcklwd,SSE2,,,-1
ssp_unpacklo_epi32            ,punpckldq,SSE2,,,-1
ssp_unpacklo_epi64            ,punpcklqdq,SSE2,,,-1
ssp_unpacklo_epi8             ,punpcklbw,SSE2,,,-1
ssp_unpacklo_pd               ,unpcklpd,SSE2,,,-1
ssp_unpacklo_ps               ,unpcklps,SSE,,-1,,,,,,,
ssp_xor_pd                    ,xorpd,SSE2,,,-1,,,,,,
ssp_xor_ps                    ,xorps,SSE,,-1,,,,,,,
ssp_xor_si128                 ,pxor,SSE2,,,-1,,,,,,
ssp_arithmetic_hadd4_epi16    ,(comp),SSP,,,-1,,,,,,
ssp_arithmetic_hadd4_epu16    ,(comp),SSP,-1,,,,,,,,
ssp_number_changeSNanToQNaN_F32,(comp),SSP,-1,,,,,,,,
ssp_number_changeSNanToQNaN_F64,(comp),SSP,-1,,,,,,,,
ssp_number_isValidNumber_F32  ,(comp),SSP,-1,,,,,,,,
ssp_number_isValidNumber_F64  ,(comp),SSP,-1,,,,,,,,
ssp_round_ps_neg_zero         ,(comp),SSP,,,-1,,,,,,
ssp_arithmetic_hadd4_dup_ps   ,(comp)    ,SSP   ,25.8,           ,18,12,           ,           ,           ,           ,           
ssp_convert_3c_3p_epi16       ,(comp)    ,SSP   ,90.5,           ,39,           ,           ,           ,           ,           ,           
ssp_convert_3c_3p_epi32       ,(comp)    ,SSP   ,95,           ,30,           ,           ,           ,           ,           ,           
ssp_convert_3c_3p_epi8        ,(comp)    ,SSP   ,129,           ,52.5,           ,           ,           ,           ,           ,           
ssp_convert_3p_3c_epi16       ,(comp)    ,SSP   ,116,           ,88.5,           ,           ,           ,           ,           ,           
ssp_convert_3p_3c_epi32       ,(comp)    ,SSP   ,96,           ,49.5,           ,           ,           ,           ,           ,           
ssp_convert_3p_3c_epi8        ,(comp)    ,SSP   ,102.5,           ,53,           ,           ,           ,           ,           ,           
ssp_convert_4c_4p_epi16       ,(comp)    ,SSP   ,96.5,           ,53,           ,           ,           ,           ,           ,           
ssp_convert_4c_4p_epi32       ,(comp)    ,SSP   ,92,           ,39,           ,           ,           ,           ,           ,           
ssp_convert_4c_4p_epi8        ,(comp)    ,SSP   ,118,           ,68,           ,           ,           ,           ,           ,           
ssp_convert_4p_4c_epi16       ,(comp)    ,SSP   ,101,           ,39,           ,           ,           ,           ,           ,           
ssp_convert_4p_4c_epi32       ,(comp)    ,SSP   ,125,           ,39,           ,           ,           ,           ,           ,           
ssp_convert_4p_4c_epi8        ,(comp)    ,SSP   ,122,           ,39,           ,           ,           ,           ,           ,           
ssp_convert_reverse_transpose ,(comp)    ,SSP   ,82,           ,29,           ,           ,           ,           ,           ,           
ssp_logical_bitwise_select    ,(comp)    ,SSP   ,           ,           ,4,           ,           ,           ,           ,           ,           
ssp_memory_load1_epu8         ,(comp)    ,SSP   ,0,           ,0,           ,           ,           ,           ,           ,           
ssp_movmask_imm8_to_epi32     ,(comp)    ,SSP   ,           ,           ,3,           ,           ,           ,           ,           ,           
